packet_id,device_time,host_time,x,y,z
0,599617365906.4553,1780930533145.4302,-78,97,-1027
0,599617365906.4553,1780930533145.619,-85,96,-1025
0,599617365906.4553,1780930533145.635,-84,97,-1023
0,599617365906.4553,1780930533145.649,-84,97,-1024
0,599617365906.4553,1780930533145.662,-85,97,-1021
0,599617365906.4553,1780930533145.675,-85,97,-1025
0,599617365906.4553,1780930533145.688,-80,95,-1025
0,599617365906.4553,1780930533145.711,-83,97,-1023
0,599617365906.4553,1780930533145.726,-88,99,-1026
0,599617365906.4553,1780930533145.74,-85,96,-1023
0,599617365906.4553,1780930533145.753,-89,97,-1023
0,599617365906.4553,1780930533145.766,-84,99,-1025
0,599617365906.4553,1780930533145.7788,-86,95,-1026
0,599617365906.4553,1780930533145.791,-84,98,-1024
0,599617365906.4553,1780930533145.804,-86,96,-1025
0,599617365906.4553,1780930533145.8171,-85,98,-1025
0,599617365906.4553,1780930533145.852,-85,96,-1020
0,599617365906.4553,1780930533145.8699,-82,96,-1022
0,599617365906.4553,1780930533145.883,-87,95,-1027
0,599617365906.4553,1780930533145.896,-84,95,-1022
0,599617365906.4553,1780930533145.9092,-87,97,-1025
0,599617365906.4553,1780930533145.921,-83,97,-1024
0,599617365906.4553,1780930533145.934,-84,95,-1020
0,599617365906.4553,1780930533145.947,-86,96,-1020
0,599617365906.4553,1780930533145.9602,-85,95,-1021
0,599617365906.4553,1780930533145.973,-85,93,-1019
0,599617365906.4553,1780930533145.986,-83,95,-1020
0,599617365906.4553,1780930533145.999,-89,95,-1018
0,599617365906.4553,1780930533146.012,-85,96,-1021
0,599617365906.4553,1780930533146.024,-85,95,-1020
0,599617365906.4553,1780930533146.038,-88,95,-1019
0,599617365906.4553,1780930533146.051,-84,94,-1017
0,599617365906.4553,1780930533146.064,-84,94,-1023
0,599617365906.4553,1780930533146.0781,-88,94,-1025
0,599617365906.4553,1780930533146.095,-88,93,-1019
0,599617365906.4553,1780930533146.323,-86,95,-1024
1,599617366088.312,1780930533369.7368,-88,90,-1020
1,599617366088.312,1780930533369.7551,-89,94,-1022
1,599617366088.312,1780930533369.762,-87,96,-1021
1,599617366088.312,1780930533369.7678,-84,93,-1021
1,599617366088.312,1780930533369.7742,-87,95,-1019
1,599617366088.312,1780930533369.781,-87,95,-1021
1,599617366088.312,1780930533369.7861,-86,96,-1024
1,599617366088.312,1780930533369.792,-85,93,-1019
1,599617366088.312,1780930533369.7979,-85,95,-1021
1,599617366088.312,1780930533369.803,-87,95,-1021
1,599617366088.312,1780930533369.8088,-88,97,-1018
1,599617366088.312,1780930533369.814,-87,95,-1017
1,599617366088.312,1780930533369.82,-87,93,-1020
1,599617366088.312,1780930533369.8262,-83,96,-1021
1,599617366088.312,1780930533369.838,-87,94,-1015
1,599617366088.312,1780930533369.843,-83,95,-1017
1,599617366088.312,1780930533369.8489,-85,95,-1019
1,599617366088.312,1780930533369.855,-87,96,-1021
1,599617366088.312,1780930533369.8608,-86,97,-1021
1,599617366088.312,1780930533369.866,-89,96,-1030
1,599617366088.312,1780930533369.872,-86,96,-1026
1,599617366088.312,1780930533369.8772,-86,94,-1026
1,599617366088.312,1780930533369.883,-86,94,-1016
1,599617366088.312,1780930533369.8882,-84,93,-1018
1,599617366088.312,1780930533369.894,-88,95,-1015
1,599617366088.312,1780930533369.9,-86,95,-1021
1,599617366088.312,1780930533369.905,-86,98,-1029
1,599617366088.312,1780930533369.911,-82,96,-1019
1,599617366088.312,1780930533369.916,-86,95,-1018
1,599617366088.312,1780930533369.929,-86,96,-1022
1,599617366088.312,1780930533369.935,-86,95,-1022
1,599617366088.312,1780930533369.94,-87,97,-1021
1,599617366088.312,1780930533369.946,-88,96,-1017
1,599617366088.312,1780930533369.951,-85,96,-1022
1,599617366088.312,1780930533369.957,-87,96,-1020
1,599617366088.312,1780930533369.963,-88,96,-1023
2,599617366270.1688,1780930533507.175,-87,95,-1019
2,599617366270.1688,1780930533507.245,-88,97,-1019
2,599617366270.1688,1780930533507.282,-84,96,-1019
2,599617366270.1688,1780930533507.312,-89,94,-1019
2,599617366270.1688,1780930533507.339,-91,95,-1019
2,599617366270.1688,1780930533507.3782,-88,96,-1015
2,599617366270.1688,1780930533507.407,-90,96,-1015
2,599617366270.1688,1780930533507.4329,-88,95,-1017
2,599617366270.1688,1780930533507.462,-84,93,-1019
2,599617366270.1688,1780930533507.489,-87,94,-1019
2,599617366270.1688,1780930533507.518,-90,94,-1020
2,599617366270.1688,1780930533507.545,-89,94,-1021
2,599617366270.1688,1780930533507.571,-85,94,-1022
2,599617366270.1688,1780930533507.605,-87,97,-1019
2,599617366270.1688,1780930533507.632,-85,95,-1019
2,599617366270.1688,1780930533507.658,-88,95,-1018
2,599617366270.1688,1780930533507.753,-87,93,-1018
2,599617366270.1688,1780930533507.781,-85,93,-1022
2,599617366270.1688,1780930533507.8079,-86,95,-1021
2,599617366270.1688,1780930533507.835,-90,97,-1021
2,599617366270.1688,1780930533507.862,-86,93,-1018
2,599617366270.1688,1780930533507.8909,-84,97,-1023
2,599617366270.1688,1780930533507.918,-88,95,-1022
2,599617366270.1688,1780930533507.9702,-88,94,-1021
2,599617366270.1688,1780930533507.999,-87,90,-1022
2,599617366270.1688,1780930533508.026,-85,94,-1019
2,599617366270.1688,1780930533508.053,-89,96,-1022
2,599617366270.1688,1780930533508.079,-84,94,-1022
2,599617366270.1688,1780930533508.107,-88,95,-1017
2,599617366270.1688,1780930533508.1328,-85,95,-1017
2,599617366270.1688,1780930533508.1611,-85,94,-1024
2,599617366270.1688,1780930533508.187,-88,96,-1020
2,599617366270.1688,1780930533508.2131,-87,95,-1021
2,599617366270.1688,1780930533508.24,-86,95,-1019
2,599617366270.1688,1780930533508.2668,-86,96,-1017
2,599617366270.1688,1780930533508.293,-86,93,-1021
3,599617366451.995,1780930533685.303,-88,94,-1021
3,599617366451.995,1780930533685.3179,-87,94,-1019
3,599617366451.995,1780930533685.324,-86,94,-1016
3,599617366451.995,1780930533685.3298,-89,96,-1020
3,599617366451.995,1780930533685.3362,-85,95,-1022
3,599617366451.995,1780930533685.3408,-85,94,-1021
3,599617366451.995,1780930533685.3472,-88,94,-1018
3,599617366451.995,1780930533685.352,-91,96,-1015
3,599617366451.995,1780930533685.3582,-86,95,-1024
3,599617366451.995,1780930533685.364,-87,98,-1023
3,599617366451.995,1780930533685.369,-86,95,-1023
3,599617366451.995,1780930533685.375,-87,96,-1017
3,599617366451.995,1780930533685.3809,-89,95,-1016
3,599617366451.995,1780930533685.386,-86,94,-1014
3,599617366451.995,1780930533685.3918,-90,96,-1023
