device_time,host_time,ecg
599616345083.9126,1780929512358.843,6084
599616345083.9126,1780929512358.871,6284
599616345083.9126,1780929512358.878,6480
599616345083.9126,1780929512358.885,6646
599616345083.9126,1780929512358.8928,6814
599616345083.9126,1780929512358.8992,6987
599616345083.9126,1780929512358.905,7028
599616345083.9126,1780929512358.9111,7051
599616345083.9126,1780929512358.917,7205
599616345083.9126,1780929512358.9238,7340
599616345083.9126,1780929512358.929,7392
599616345083.9126,1780929512358.936,7490
599616345083.9126,1780929512358.9421,7594
599616345083.9126,1780929512358.948,7628
599616345083.9126,1780929512358.9539,7703
599616345083.9126,1780929512358.96,7797
599616345083.9126,1780929512358.984,7829
599616345083.9126,1780929512358.991,7883
599616345083.9126,1780929512358.997,7940
599616345083.9126,1780929512359.0032,7956
599616345083.9126,1780929512359.009,8011
599616345083.9126,1780929512359.015,8061
599616345083.9126,1780929512359.021,8054
599616345083.9126,1780929512359.028,8081
599616345083.9126,1780929512359.0332,8168
599616345083.9126,1780929512359.04,8277
599616345083.9126,1780929512359.046,8265
599616345083.9126,1780929512359.052,8099
599616345083.9126,1780929512359.0579,8065
599616345083.9126,1780929512359.065,8147
599616345083.9126,1780929512359.071,8111
599616345083.9126,1780929512359.077,8063
599616345083.9126,1780929512359.082,8124
599616345083.9126,1780929512359.0889,8197
599616345083.9126,1780929512359.0952,8177
599616345083.9126,1780929512359.101,8086
599616345083.9126,1780929512359.107,8022
599616345083.9126,1780929512359.113,8017
599616345083.9126,1780929512359.1199,8031
599616345083.9126,1780929512359.126,8017
599616345083.9126,1780929512359.132,7990
599616345083.9126,1780929512359.139,7963
599616345083.9126,1780929512359.145,7924
599616345083.9126,1780929512359.151,7915
599616345083.9126,1780929512359.157,7967
599616345083.9126,1780929512359.163,8074
599616345083.9126,1780929512359.168,8129
599616345083.9126,1780929512359.174,7929
599616345083.9126,1780929512359.18,7663
599616345083.9126,1780929512359.186,7622
599616345083.9126,1780929512359.192,7642
599616345083.9126,1780929512359.199,7578
599616345083.9126,1780929512359.205,7531
599616345083.9126,1780929512359.211,7483
599616345083.9126,1780929512359.217,7387
599616345083.9126,1780929512359.223,7326
599616345083.9126,1780929512359.229,7326
599616345083.9126,1780929512359.235,7305
599616345083.9126,1780929512359.241,7246
599616345083.9126,1780929512359.247,7185
599616345083.9126,1780929512359.253,7135
599616345083.9126,1780929512359.2588,7098
599616345083.9126,1780929512359.2651,7083
599616345083.9126,1780929512359.271,7064
599616345083.9126,1780929512359.277,7023
599616345083.9126,1780929512359.2861,7010
599616345083.9126,1780929512359.291,7030
599616345083.9126,1780929512359.298,6937
599616345083.9126,1780929512359.304,6791
599616345083.9126,1780929512359.3098,6951
599616345083.9126,1780929512359.3162,7335
599616345083.9126,1780929512359.322,7324
599616345083.9126,1780929512359.3271,6637
599616345645.81,1780929512944.805,5806
599616345645.81,1780929512944.8381,5654
599616345645.81,1780929512944.8499,6093
599616345645.81,1780929512944.8618,6293
599616345645.81,1780929512944.8801,6166
599616345645.81,1780929512944.8909,6127
599616345645.81,1780929512944.901,6148
599616345645.81,1780929512944.911,6114
599616345645.81,1780929512944.9202,6116
599616345645.81,1780929512944.9302,6064
599616345645.81,1780929512944.939,5893
599616345645.81,1780929512944.949,5809
599616345645.81,1780929512944.9602,5834
599616345645.81,1780929512944.97,5861
599616345645.81,1780929512944.979,5818
599616345645.81,1780929512944.988,5636
599616345645.81,1780929512944.997,5504
599616345645.81,1780929512945.007,5518
599616345645.81,1780929512945.017,5502
599616345645.81,1780929512945.027,5463
599616345645.81,1780929512945.039,5472
599616345645.81,1780929512945.049,5386
599616345645.81,1780929512945.058,5231
599616345645.81,1780929512945.067,5215
599616345645.81,1780929512945.077,5270
599616345645.81,1780929512945.086,5247
599616345645.81,1780929512945.095,5170
599616345645.81,1780929512945.105,5106
599616345645.81,1780929512945.115,5085
599616345645.81,1780929512945.124,5076
599616345645.81,1780929512945.134,5060
599616345645.81,1780929512945.143,5051
599616345645.81,1780929512945.153,5022
599616345645.81,1780929512945.162,4960
599616345645.81,1780929512945.172,4869
599616345645.81,1780929512945.181,4692
599616345645.81,1780929512945.1921,4526
599616345645.81,1780929512945.2021,4469
599616345645.81,1780929512945.211,4380
599616345645.81,1780929512945.221,4228
599616345645.81,1780929512945.231,4144
599616345645.81,1780929512945.24,4119
599616345645.81,1780929512945.25,4071
599616345645.81,1780929512945.259,4037
599616345645.81,1780929512945.269,3987
599616345645.81,1780929512945.2979,3857
599616345645.81,1780929512945.3079,3782
599616345645.81,1780929512945.3188,3791
599616345645.81,1780929512945.3289,3771
599616345645.81,1780929512945.3481,3741
599616345645.81,1780929512945.3572,3709
599616345645.81,1780929512945.3672,3639
599616345645.81,1780929512945.3772,3596
599616345645.81,1780929512945.386,3600
599616345645.81,1780929512945.395,3605
599616345645.81,1780929512945.405,3543
599616345645.81,1780929512945.416,3418
599616345645.81,1780929512945.485,3336
599616345645.81,1780929512945.496,3295
599616345645.81,1780929512945.506,3257
599616345645.81,1780929512945.515,3241
599616345645.81,1780929512945.524,3227
599616345645.81,1780929512945.533,3177
599616345645.81,1780929512945.549,3118
599616345645.81,1780929512945.558,3097
599616345645.81,1780929512945.568,3082
599616345645.81,1780929512946.265,3059
599616345645.81,1780929512946.2832,3027
599616345645.81,1780929512946.312,2938
599616345645.81,1780929512946.322,2845
599616345645.81,1780929512946.331,2836
599616345645.81,1780929512946.341,2836
599616345645.81,1780929512946.351,2809
599616346207.682,1780929513484.262,2800
599616346207.682,1780929513484.294,2777
599616346207.682,1780929513484.302,2677
599616346207.682,1780929513484.315,2570
599616346207.682,1780929513484.324,2558
599616346207.682,1780929513484.333,2572
599616346207.682,1780929513484.3408,2538
599616346207.682,1780929513484.349,2495
599616346207.682,1780929513484.3572,2467
599616346207.682,1780929513484.364,2451
599616346207.682,1780929513484.3718,2445
599616346207.682,1780929513484.3801,2440
599616346207.682,1780929513484.3892,2399
599616346207.682,1780929513484.397,2315
599616346207.682,1780929513484.404,2274
599616346207.682,1780929513484.4119,2285
599616346207.682,1780929513484.4202,2251
599616346207.682,1780929513484.427,2179
599616346207.682,1780929513484.435,2154
599616346207.682,1780929513484.442,2147
599616346207.682,1780929513484.4502,2135
599616346207.682,1780929513484.457,2147
599616346207.682,1780929513484.4648,2133
599616346207.682,1780929513484.472,2076
599616346207.682,1780929513484.48,2022
599616346207.682,1780929513484.487,1960
599616346207.682,1780929513484.4949,1903
599616346207.682,1780929513484.504,1890
599616346207.682,1780929513484.5122,1890
599616346207.682,1780929513484.52,1869
599616346207.682,1780929513484.527,1826
599616346207.682,1780929513484.535,1780
599616346207.682,1780929513484.543,1751
599616346207.682,1780929513484.551,1746
599616346207.682,1780929513484.558,1746
599616346207.682,1780929513484.566,1733
599616346207.682,1780929513484.573,1708
599616346207.682,1780929513484.581,1687
599616346207.682,1780929513484.588,1671
599616346207.682,1780929513484.595,1662
599616346207.682,1780929513484.603,1651
599616346207.682,1780929513484.611,1644
599616346207.682,1780929513484.618,1621
599616346207.682,1780929513484.625,1553
599616346207.682,1780929513484.634,1523
599616346207.682,1780929513484.641,1621
599616346207.682,1780929513484.648,1874
599616346207.682,1780929513484.656,2199
599616346207.682,1780929513484.663,2133
599616346207.682,1780929513484.67,1364
599616346207.682,1780929513484.678,666
599616346207.682,1780929513484.685,841
599616346207.682,1780929513484.6921,1321
599616346207.682,1780929513484.7,1412
599616346207.682,1780929513484.707,1355
599616346207.682,1780929513484.7158,1398
599616346207.682,1780929513484.7231,1401
599616346207.682,1780929513484.731,1373
599616346207.682,1780929513484.738,1378
599616346207.682,1780929513484.746,1346
599616346207.682,1780929513484.753,1294
599616346207.682,1780929513484.761,1294
599616346207.682,1780929513484.7678,1278
599616346207.682,1780929513484.7761,1198
599616346207.682,1780929513484.783,1137
599616346207.682,1780929513484.79,1116
599616346207.682,1780929513484.7979,1103
599616346207.682,1780929513484.8052,1105
599616346207.682,1780929513484.813,1119
599616346207.682,1780929513484.821,1132
599616346207.682,1780929513484.828,1144
599616346207.682,1780929513484.835,1148
599616346207.682,1780929513484.843,1160
599616346769.554,1780929514025.0781,1180
599616346769.554,1780929514025.1228,1198
599616346769.554,1780929514025.1392,1225
599616346769.554,1780929514025.1528,1255
599616346769.554,1780929514025.167,1276
599616346769.554,1780929514025.1802,1298
